fecha,tipo_institucion,roa,roe,morosidad,tamano_activo,ratio_eficiencia_operativa,margen_financiero_neto
2019-04-01,Banca Múltiple,2.2226422856716304,18.278624959210532,3.05,243876252.19999996,41.29356173669284,5064128.95821
2019-04-01,Cajas Municipales,1.4134342352471065,10.803301713071704,7.32,25519089.8819,61.9758363702974,848468.10383
2019-05-01,Banca Múltiple,2.2158827691987333,18.21913817155998,3.11,244926908.08499998,40.96932189275422,6462361.68541
2019-05-01,Cajas Municipales,1.3997159991971087,10.718549158537208,7.26,26030756.59395,62.00915992357292,1092631.38295
2019-06-01,Banca Múltiple,2.242039707120267,18.392727968547167,3.08,246654496.23700008,40.82607047874156,7776219.76796
2019-06-01,Cajas Municipales,1.4387078863076936,11.032140492133543,7.03,26170215.747360002,61.808155125503546,1310479.6507700002
2019-07-01,Banca Múltiple,2.2949669719516343,18.822758951888826,3.13,251276974.615,40.27229324882715,9214217.09539
2019-07-01,Cajas Municipales,1.4647239133297285,11.245855083992856,7.23,26450106.93757,61.59809309010775,1552193.9478499999
2019-08-01,Banca Múltiple,2.308582298384312,18.92917394123704,3.13,251979343.12899998,40.14761346103805,10750269.266789999
2019-08-01,Cajas Municipales,1.4797542113312658,11.368796268153677,7.27,26802132.85997,61.53069313749848,1776642.4041600002
2019-09-01,Banca Múltiple,2.3001103917170167,18.885353975142753,3.1,251716605.196,40.34394365805024,12051513.974629998
2019-09-01,Cajas Municipales,1.502644413241056,11.554051565782297,7.12,27038805.354550004,61.544159000444445,2010290.6262
2019-10-01,Banca Múltiple,2.293923020517518,18.80530848705845,3.08,255071294.004,40.514285375917446,13385761.040570006
2019-10-01,Cajas Municipales,1.5038292159229896,11.562944032586415,7.15,27205627.277599994,61.57691701661665,2243977.8912000004
2019-11-01,Banca Múltiple,2.2881532805975273,18.728998483032996,3.05,260181401.90199998,40.81543495314881,14767076.339540001
2019-11-01,Cajas Municipales,1.543724599786092,11.870038661195382,7.13,27775686.22761,61.542629565135655,2484690.5838500005
2019-12-01,Banca Múltiple,2.2469916988962875,18.34184221707481,3.02,260683242.414,41.114863178494524,15923714.02828
2019-12-01,Cajas Municipales,1.586834123891233,12.197866382662868,6.93,28086829.02214,61.32502332590484,2756672.8091700003
2020-01-01,Banca Múltiple,2.2449071657333666,18.29089337778809,3.09,263587844.21699998,39.051909595182146,1450342.7032299999
2020-01-01,Cajas Municipales,1.5806047755247485,12.15240796472876,7.32,28254552.217189997,61.33677046753962,231070.17664000002
2020-02-01,Banca Múltiple,2.2502498762997836,18.313882956954902,3.09,266741888.606,40.35498498422017,2933978.79169
2020-02-01,Cajas Municipales,1.568116830697065,12.065973584205219,7.29,28397450.93192,61.29141609710218,453019.1983
2020-03-01,Banca Múltiple,2.1189368808041067,17.16742469665391,3.15,271138267.375,41.55424108349371,4131994.7195099997
2020-03-01,Cajas Municipales,1.44992804794568,11.153511269044403,7.37,27880268.9602,61.77722404608388,650915.1375699999
2020-04-01,Banca Múltiple,1.9447212160601808,15.762729256160357,3.38,276095747.14500004,41.916435961862526,4710255.857179999
2020-04-01,Cajas Municipales,1.3994717528881013,10.747309683487655,7.32,27668341.283180002,62.469518213912245,825203.09638
2020-05-01,Banca Múltiple,1.7571719900662246,14.360052268029522,3.08,316451899.27199996,41.734276345376756,5330217.135780001
2020-05-01,Cajas Municipales,1.2779298437520183,9.800476073775204,7.27,28405442.0264,62.66021873984459,987207.71365
2020-06-01,Banca Múltiple,1.5639715555993183,12.926025990811016,3.15,321413518.4330001,41.74798109512107,5904926.569839998
2020-06-01,Cajas Municipales,1.1835352075693233,9.074801406877475,7.19,28624892.50387,62.78400986107688,1148953.96155
2020-07-01,Banca Múltiple,1.3383418628471728,11.200129273041458,3.02,333573859.925,42.21654421471774,6626152.697709999
2020-07-01,Cajas Municipales,1.0082471677642246,7.751863345935071,6.74,29817524.67836,63.108140080864594,1294064.55945
2020-08-01,Banca Múltiple,1.144954370900561,9.718197793062867,3.1,346636903.07399994,42.235626660029304,7185921.815000001
2020-08-01,Cajas Municipales,0.8744667538129127,6.7566117542954105,6.4,30558527.941070005,63.63660616510831,1447088.3431700002
2020-09-01,Banca Múltiple,0.9651373974950448,8.306155894550022,3.29,347923229.93600005,42.46482728699109,7646734.82692
2020-09-01,Cajas Municipales,0.7383964543192724,5.746721398274712,6.13,31363952.463979997,63.856706304779706,1604261.94809
2020-10-01,Banca Múltiple,0.782806263023932,6.836687229820216,3.52,350261667.4570001,42.65822609760265,8224796.93537
2020-10-01,Cajas Municipales,0.5523197033419451,4.340044664482481,5.8,31940039.718650002,64.14711098630056,1752720.75923
2020-11-01,Banca Múltiple,0.6081785865895281,5.388894107229597,3.7,354211967.2750001,42.925949043894036,8587356.335169999
2020-11-01,Cajas Municipales,0.371327287027655,2.9486695666972795,5.53,32621239.11933999,64.32296768003197,1919110.7785
2020-12-01,Banca Múltiple,0.4396237614721108,3.9579472993479574,3.8,358127876.507,43.40084747002116,8986079.94782
2020-12-01,Cajas Municipales,0.2606283461173754,2.0943848510833525,5.08,33073483.47359,64.28424622915807,2117249.3176199994
2021-01-01,Banca Múltiple,0.3379849888536323,3.0949815555106652,3.84,357562623.7350001,41.1863862165515,779733.4544899998
2021-01-01,Cajas Municipales,0.15485656950407106,1.2577040625523501,5.21,32569860.746620003,64.77443678228278,182837.91338999997
2021-02-01,Banca Múltiple,0.24080856100844417,2.245939278445294,3.84,360079969.17200005,44.849453025392634,1478928.3408899996
2021-02-01,Cajas Municipales,0.03509971158191942,0.2884086827486354,5.66,32847107.18176,65.3806214460177,340291.52530000004
