fecha,diferencia_roa,diferencia_roe,diferencia_morosidad,diferencia_tamano_activo,diferencia_ratio_eficiencia_operativa,diferencia_margen_financiero_neto
2021-06-01,0.6806381790293721,6.385920447175791,-2.2600000000000002,323473977.2428799,-19.463683459000677,5020433.472829998
2021-07-01,0.7636437748845596,7.2550647973555495,-2.45,323943357.1632999,-19.711707737696372,6366217.0109399995
2021-08-01,0.8195146989325033,7.8832433636842145,-2.21,322183168.14658004,-19.358699778643953,7590709.93218
2021-09-01,0.8971221736343914,8.707710018183878,-2.0399999999999996,313051953.16982996,-18.750433607124556,8840197.306809995
2021-10-01,0.9356627576381131,9.203496136398336,-1.9100000000000001,313432310.53663003,-18.005831598283628,10135969.92233
2021-11-01,0.9436450961097579,9.38935981776145,-1.7199999999999998,310276212.44383997,-17.94651991859888,11553305.447239999
2021-12-01,1.023419769065526,10.20339568017748,-1.27,309371303.58940005,-16.88158063233022,13242566.09387
2022-01-01,1.03642035066869,10.296768930802342,-1.5600000000000005,315689485.73706996,-20.031864480155413,864576.5238500002
2022-02-01,1.0593308316978174,10.447045948675436,-1.7400000000000002,318714791.45098996,-18.175125510270213,1748435.71581
2022-03-01,1.0540209073786584,10.385118277950447,-1.7799999999999998,313554240.19868004,-18.478358672670154,3260233.12274
2022-04-01,1.0253300351021368,10.131073229181666,-1.8399999999999999,303033248.9825301,-18.57251821698172,4559090.791349998
2022-05-01,0.929833688877043,9.253732689778701,-1.71,301913743.91718006,-18.040904632102453,5847962.2548400005
2022-06-01,0.8730934282317685,8.695451803184978,-1.6100000000000003,303307491.65443003,-17.806482172948698,7100786.281700001
2022-07-01,0.8650920564880316,8.543559582489925,-1.7800000000000002,304335771.61591,-17.614857368643797,8506897.28689
2022-08-01,0.8764325390112915,8.50342823847455,-1.7099999999999995,303790478.49376,-17.494388055978703,9769095.43765
2022-09-01,0.9031645308753358,8.62513862496536,-1.7200000000000002,302741805.44921994,-17.641469995363053,10882483.348930001
2022-10-01,0.8646718252809595,8.17895609988109,-1.87,300991657.66972,-17.579072805870354,12218328.14666
2022-11-01,0.923250952522485,8.538904702554953,-1.92,298085398.67228985,-17.525994734126947,13419672.996690001
